study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,2,152,control,incongruent,deplete-control,0.077,0.2231,0.412
1,1,152,deplete,congruent,deplete-control,0.1161,0.2863,0.3951
1,1,152,deplete,incongruent,deplete-control,0.1051,0.1643,0.4026
1,1,153,control,congruent,control-deplete,0.1131,0.3201,0.4508
1,1,153,control,incongruent,control-deplete,0.1153,0.2775,0.5075
1,2,153,deplete,congruent,control-deplete,0.1882,0.2535,0.3682
1,2,153,deplete,incongruent,control-deplete,0.1477,0.1749,0.5256
1,1,155,control,congruent,control-deplete,0.1284,0.2812,0.3883
1,1,155,control,incongruent,control-deplete,0.1258,0.1814,0.4326
1,2,155,deplete,congruent,control-deplete,0.1141,0.2651,0.3654
1,2,155,deplete,incongruent,control-deplete,0.1388,0.2775,0.4138
1,2,156,control,congruent,deplete-control,0.1313,0.3092,0.4069
1,2,156,control,incongruent,deplete-control,0.0976,0.1716,0.5924
1,1,156,deplete,congruent,deplete-control,0.0957,0.2497,0.4472
1,1,156,deplete,incongruent,deplete-control,0.0864,0.0544,0.5346
1,1,157,control,congruent,control-deplete,0.1394,0.2383,0.3767
1,1,157,control,incongruent,control-deplete,0.1225,0.1392,0.4859
1,2,157,deplete,congruent,control-deplete,0.1167,0.1998,0.4253
1,2,157,deplete,incongruent,control-deplete,0.1243,0.1803,0.4856
1,1,159,control,congruent,control-deplete,0.1388,0.2102,0.4622
1,1,159,control,incongruent,control-deplete,0.1165,0.0551,0.5988
